Region,Distance,Category,MajorEvent,GroundCondition,Stick,HorseName,StartingStall,Weight,JockeyName,ChampionshipType,OwnerName,TOP1,TOP3,TOP5,EdadYears,FAVORITE,TrackHandedness_Left-Handed,TrackHandedness_Right-Handed,RaceCriteria_JUMP,Seasons_Spring,Seasons_Summer,Seasons_Winter,Schedule_Midday,Schedule_Night
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Cloth Cap (IRE),30,150,Tom Scudamore,JUMP,John Joseph O'Neill,0,1,1,9.981638911134384,False,1,0,1,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Lostintranslation (IRE),6,160,Harry Cobden,JUMP,Colin Leslie Tizzard,0,0,0,9.899501700924729,False,1,0,1,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Top Ville Ben (IRE),22,151,Thomas Dowson,JUMP,Philip Andrew Kirby,0,1,1,9.891287979903762,False,1,0,1,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Fortescue (GB),40,146,Hugh Nugent,JUMP,Henry Duncan James Daly,0,1,1,7.922732841879026,False,1,0,1,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Lostintranslation (IRE),6,160,Harry Cobden,FLAT,Colin Leslie Tizzard,0,0,0,9.899501700924729,False,1,0,1,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Top Ville Ben (IRE),22,151,Thomas Dowson,FLAT,Philip Andrew Kirby,0,1,1,9.891287979903762,False,1,0,1,1,0,0,0,0
NORTH,2256,-100,1.0,4.0,6.9,Native Trail (GB),7,127,William Buick,FLAT,Charles Edward James Appleby,0,0,1,3.5364156842523955,False,1,0,0,0,1,0,0,0
NORTH,2256,-100,1.0,4.0,6.9,Sir Busker (IRE),6,134,Ben Curtis,FLAT,William James Knight,0,1,1,6.411218041590328,False,1,0,0,0,1,0,0,0
SOUTH,1760,-100,1.0,3.0,7.6,Modern Games (IRE),7,128,William Buick,FLAT,Charles Edward James Appleby,0,1,1,3.279052425595476,False,0,1,0,0,1,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,King's Lynn (GB),14,131,David Probert,JUMP,Andrew Matthews Balding,0,0,0,5.327092426416848,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,King's Lynn (GB),14,131,David Probert,FLAT,Andrew Matthews Balding,0,0,0,5.327092426416848,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Double Or Bubble (IRE),21,128,Jack Mitchell,FLAT,Christian Frederick Wall,0,0,0,5.129963121913676,False,0,1,0,1,0,0,0,0
